Priority,Event Name,Funnel Stage,Trigger (When It Fires),Key Parameters
P0,page_view,Acquisition / Content,Automatic (Enhanced Measurement) on every page load.,"page_location, page_title, page_referrer, content_group (wiki | blog | score-guide | product | pricing)"
P0,session_start,Acquisition / Content,Automatic when a new session begins.,"source, medium, campaign, landing_page"
P1,first_visit,Acquisition / Content,Automatic on a user's very first session.,"landing_page, source, medium"
P2,scroll_depth,Acquisition / Content,Fires at 25/50/75/90% scroll on content pages.,"percent_scrolled, content_group, page_location"
P0,cta_click,Acquisition / Content,User clicks a CTA on a content/wiki page (use GA4 select_content).,"content_type, item_id, cta_text, source_page, content_group"
P2,view_promotion / select_promotion,Acquisition / Content,A promo banner is seen / clicked.,"promotion_id, promotion_name, creative_slot"
P0,sign_up,Registration,Account registration completes successfully.,"method (email | google | apple | facebook), source_page, referral_code"
P1,login,Registration,Returning user authenticates.,"method, days_since_last_login"
P1,email_verified,Registration,User clicks the verification link.,hours_to_verify
P0,onboarding_step_complete,Registration,Each step of the onboarding wizard is completed.,"step_name, step_number, total_steps"
P0,onboarding_complete,Registration,User finishes the full onboarding flow.,"duration_sec, steps_skipped"
P0,test_date_set,Registration,User enters their scheduled CELPIP exam date.,"test_date, days_until_test, is_booked (true/false)"
P0,target_score_set,Registration,User selects their target CLB level and reason for testing.,"target_clb, purpose (pr | citizenship | work | study | professional)"
P0,practice_test_start,Product Engagement,"User starts any practice test, module, or quiz.","test_id, test_type (full_mock | module | quiz), module (listening | reading | writing | speaking), difficulty, is_free, attempt_number"
P0,practice_test_complete,Product Engagement,Test is submitted and scored.,"test_id, module, duration_sec, raw_score, estimated_clb, questions_attempted, completion_rate"
P0,practice_test_abandon,Product Engagement,User exits a test without submitting (timeout or navigation away).,"module, percent_complete, last_question_index, exit_reason"
P2,practice_test_resume,Product Engagement,User returns to a saved in-progress test.,"test_id, hours_since_pause"
P2,timer_expired,Product Engagement,The section timer runs out before submission.,"module, questions_unanswered"
P1,audio_play,Product Engagement,Listening audio clip starts playing.,"clip_id, module, replay_count"
P0,audio_error,Product Engagement,Listening audio fails to load or play.,"clip_id, error_type, browser, device"
P0,writing_task_submit,Product Engagement,User submits a Writing task response.,"task_number (1 | 2), word_count, time_spent_sec, is_free"
P0,speaking_task_submit,Product Engagement,User submits a recorded Speaking task.,"task_number (1-8), duration_sec, retakes, is_free"
P0,mic_permission_result,Product Engagement,Browser microphone permission is granted or denied.,"result (granted | denied | dismissed), browser, device"
P0,ai_scoring_requested,Product Engagement,A Writing/Speaking submission is sent for AI scoring.,"module, task_number, input_length, model"
P0,ai_score_returned,Product Engagement,AI feedback is successfully delivered to the user.,"module, latency_ms, estimated_clb"
P0,ai_scoring_failed,Product Engagement,"AI scoring errors, times out, or is rate-limited.","module, error_type, retry_count"
P1,ai_feedback_viewed,Product Engagement,User opens the detailed AI feedback panel.,"module, time_on_feedback_sec, sections_expanded"
P1,ai_feedback_rated,Product Engagement,User rates the AI feedback (thumbs up/down or stars).,"rating, module, reason_text"
P0,score_report_view,Product Engagement,User opens their score report.,"overall_clb, listening_clb, reading_clb, writing_clb, speaking_clb, test_id"
P2,vocab_practice_complete,Product Engagement,User finishes a vocabulary or flashcard set.,"set_id, cards_reviewed, accuracy"
P0,paywall_view,Monetization,The paywall or upgrade modal is displayed.,"trigger_source, plans_shown, days_until_test"
P0,view_item_list,Monetization,Pricing page or plan comparison is viewed.,"item_list_id, items, currency"
P1,select_item,Monetization,User picks a plan.,"item_id, item_name, price, index"
P0,begin_checkout,Monetization,Checkout flow is initiated.,"value, currency, items, coupon"
P0,purchase,Monetization,Payment succeeds.,"transaction_id, value, currency (CAD), items, coupon, subscription_term, is_trial_conversion"
P0,payment_failed,Monetization,A charge is declined or errors out.,"error_code, decline_reason, payment_type, value, attempt_number"
P0,checkout_error,Monetization,"A non-payment error blocks checkout (validation, tax, network).","error_type, step, field_name"
P1,promo_code_apply,Monetization,A discount code is applied or rejected.,"coupon, discount_pct, result (applied | invalid | expired)"
P1,subscription_renew,Monetization,A recurring charge succeeds.,"plan, term_number, value, currency"
P2,plan_change,Monetization,User upgrades or downgrades.,"from_plan, to_plan, direction (upgrade | downgrade), mrr_delta"
P0,cancel_flow_start,Monetization,User opens the cancellation flow.,"plan, days_subscribed, tests_completed"
P0,cancel_reason_submit,Monetization,User selects or types a cancellation reason.,"reason, reason_text, plan"
P0,subscription_cancel,Monetization,Cancellation is confirmed.,"plan, days_subscribed, mrr_lost, will_expire_at"
P1,refund_request,Monetization,User requests a refund.,"reason, days_since_purchase, value"
P1,reactivation_session,Retention,A dormant user (14+ days inactive) returns.,"days_dormant, trigger_channel, days_until_test"
P1,nps_response,Retention,User submits an NPS or CSAT rating.,"score, survey_trigger, comment"
P1,exception,Technical,A JavaScript error or unhandled exception occurs.,"description, fatal, page_location, browser"
P1,web_vitals,Technical,Core Web Vitals are measured on page load.,"metric_name (LCP | INP | CLS), value, page_location, content_group"
