Priority,KPI Name,Metric Type,Formula / Description,Primary Data Source
P0,Activation Rate (7-day),Activation,Percentage of new registrations that complete at least one full practice test within 7 days of sign-up. (Activated users / New sign-ups in cohort).,GA4 + App DB
P0,Time to First Value,Activation,"Median hours from sign_up to first practice_test_complete. The shorter this is, the higher every downstream conversion rate becomes.",GA4 + App DB
P0,Onboarding Completion Rate,Activation,"Percentage of new users who finish the onboarding wizard, plus per-step drop-off rates.",GA4
P0,Test Date Capture Rate,Activation,Percentage of new users who provide a scheduled exam date. Unlocks days-until-test segmentation across every other metric.,GA4 + App DB
P0,Diagnostic Completion Rate,Activation,Diagnostic tests completed / diagnostic tests started. Your earliest reliable read on product-experience friction.,GA4
P0,Tests Completed per Active User (weekly),Engagement,Total practice_test_complete events / weekly active users. Your core usage-depth metric.,GA4 + App DB
P0,Test Completion Rate by Module,Engagement,"practice_test_complete / practice_test_start, split by Listening, Reading, Writing and Speaking. Expect Speaking and Writing to lag sharply.",GA4
P0,Test Abandonment Rate & Median Exit Point,Engagement,"Percentage of started tests never submitted, plus the median percent_complete at exit. Clustering at one point signals a bug.",GA4
P0,Speaking Attempt Rate,Engagement,"Percentage of active users who submit at least one Speaking task, and the microphone-denial rate among those who try.",GA4
P0,AI Scoring Success Rate,Reliability,ai_score_returned / ai_scoring_requested. Anything below 99% is actively generating refund requests.,App logs / GA4
P0,AI Scoring Latency (p50 / p95),Reliability,"Median and 95th-percentile time from submission to feedback delivery, by module.",App logs
P1,AI Feedback Satisfaction,Product Quality,Percentage of positive ratings on ai_feedback_rated. Track across model or prompt changes.,GA4 + App DB
P0,WAU and WAU/MAU,Engagement,"Weekly active users and the weekly-to-monthly stickiness ratio. Better suited than DAU/MAU to a product used in study bursts, not daily.",GA4
P1,Engagement by Days-Until-Test Cohort,Engagement,"Sessions and tests completed, bucketed by days remaining before the exam (60+, 30-59, 14-29, 0-13). Reveals your true usage curve.",GA4 + App DB
P0,Score Improvement Delta,Outcome,Average change in estimated CLB between a user's first and most recent practice test. The only metric that proves your product works.,App DB
P1,Target Score Achievement Rate,Outcome,"Percentage of engaged users who reach their self-declared target CLB in practice. Powers testimonials, landing-page claims and paid ad creative.",App DB
P2,Explanation Engagement Rate,Engagement,Percentage of incorrect answers where the user opens the explanation. Strong leading indicator of renewal.,GA4
P1,Study Plan Adherence,Engagement,Percentage of scheduled study tasks completed on time by users with an active plan.,App DB
P0,Content-to-Signup Rate,Funnel Growth,"Sign-ups attributed to organic content sessions / organic content sessions, by landing page and content cluster. Connects your SEO work to revenue.",GA4 + GSC
P0,Paywall View to Purchase Rate,Funnel Growth,"Purchases / paywall_view events. The most honest conversion rate in the business, because the denominator has real intent.",GA4
P1,Pricing Page to Checkout Rate,Funnel Growth,begin_checkout / view_item_list. Isolates price objection from checkout friction.,GA4
P0,Checkout Abandonment Rate,Funnel Growth,1 minus (purchase / begin_checkout). Anything above roughly 60% points to a fixable payment-flow problem.,GA4 + Stripe
P0,Payment Failure Rate,Funnel Growth,"Declined charges / total charge attempts, broken out by decline reason and card country. Often the single largest recoverable leak for a newcomer-heavy audience.",Stripe
P0,Free-to-Paid Conversion by Days-Until-Test,Funnel Growth,Conversion rate segmented by days remaining before the exam. Expect a sharp spike inside 14 days — this should drive your pricing and email timing.,Billing + App DB
P1,Time to Purchase,Funnel Growth,Median days from first_visit to purchase. Defines how long your nurture sequence needs to be.,GA4 + Billing
P1,Signup-to-Paid by Landing Page,Funnel Growth,"Paid conversion rate of users grouped by their original landing page. Identifies which SEO pages bring buyers, not just traffic.",GA4 + Billing
P1,Discount Penetration & Average Depth,Revenue,"Percentage of purchases using a coupon, and the average discount percentage. Rising values mean you are buying growth with margin.",Stripe
